Date,Open,High,Low,Close,Adj Close,Volume
2021-05-21,15.163750,15.222000,14.869500,14.991750,14.961270,672992000
2021-05-24,15.212500,15.745000,15.176000,15.612000,15.580259,554816000
2021-05-25,15.766000,15.818500,15.482500,15.647750,15.615936,435408000
2021-05-26,15.734250,15.793750,15.586250,15.700000,15.668079,370440000
2021-05-27,15.699750,15.750000,15.460000,15.488000,15.456509,581476000
2021-05-28,15.501000,16.277500,15.501000,16.244499,16.211472,644536000
2021-06-01,16.270000,16.388250,15.903250,16.264500,16.231430,472804000
2021-06-02,16.252251,16.918751,16.235500,16.778250,16.744135,594168000
2021-06-03,16.700750,17.259001,16.583000,16.969749,16.935247,580008000
2021-06-04,17.112499,17.660999,17.095501,17.578251,17.542513,617120000
2021-06-07,17.571251,17.812500,17.192751,17.618999,17.583178,575756000
2021-06-08,17.527250,17.621500,17.250999,17.457001,17.421511,323848000
2021-06-09,17.515751,17.575001,17.255751,17.358250,17.326927,381656000
2021-06-10,17.350000,17.492001,17.176001,17.424999,17.393559,287772000
2021-06-11,17.479500,17.939251,17.443750,17.825251,17.793087,416308000
2021-06-14,17.906000,18.039499,17.662750,18.018749,17.986237,321376000
2021-06-15,17.915001,18.016251,17.728001,17.788500,17.756403,243032000
2021-06-16,17.790751,17.954750,17.584499,17.810249,17.778112,307124000
2021-06-17,17.774500,18.834999,17.756250,18.657249,18.623587,809656000
2021-06-18,18.784000,19.375000,18.584000,18.638750,18.605116,968856000
2021-06-21,18.435249,18.536501,17.822750,18.427250,18.393997,672384000
2021-06-22,18.471500,18.963751,18.386000,18.886749,18.852671,580144000
2021-06-23,19.007750,19.152750,18.907749,19.057249,19.022860,332356000
2021-06-24,19.227751,19.420000,19.088249,19.205500,19.170845,320924000
2021-06-25,19.280500,19.345501,18.894501,19.031000,18.996658,278364000
2021-06-28,19.361250,20.078751,19.319000,19.985001,19.948940,495436000
2021-06-29,19.882500,20.098749,19.657000,20.026751,19.990612,367632000
2021-06-30,19.999250,20.162500,19.863750,20.002501,19.966406,326568000
2021-07-01,20.125000,20.455999,20.018999,20.212000,20.175529,480136000
2021-07-02,20.440250,20.505251,20.287750,20.487000,20.450029,342764000
2021-07-06,20.737499,20.841999,20.350250,20.698500,20.661150,446708000
2021-07-07,20.853500,20.875000,20.332001,20.371750,20.334993,418428000
2021-07-08,19.856501,20.132999,19.700750,19.902750,19.866838,503300000
2021-07-09,19.962500,20.080250,19.754250,20.050249,20.014069,296624000
2021-07-12,20.240000,20.532749,20.187750,20.512501,20.475491,321984000
2021-07-13,20.400499,20.461250,20.114000,20.250000,20.213461,290708000
2021-07-14,20.357750,20.417749,19.752750,19.841499,19.805698,380100000
2021-07-15,19.811750,19.847000,18.858500,18.966249,18.932024,550564000
2021-07-16,19.030500,19.157000,18.073000,18.160999,18.128231,688224000
2021-07-19,17.915251,19.042000,17.865499,18.779751,18.745861,749060000
2021-07-20,18.730000,18.837999,18.164000,18.612000,18.578417,434687000
2021-07-21,18.882000,19.527000,18.742001,19.410000,19.374975,371017000
2021-07-22,19.642000,19.886999,19.275999,19.594000,19.558641,323826000
2021-07-23,19.656000,19.700001,19.250000,19.558001,19.522709,195672000
2021-07-26,19.311001,19.441999,18.914000,19.294001,19.259186,203943000
2021-07-27,19.264999,19.622000,18.740999,19.208000,19.173342,248863000
2021-07-28,19.319000,19.646000,18.995001,19.503000,19.467806,202191000
2021-07-29,19.518999,19.853001,19.327999,19.662001,19.626520,190781000
2021-07-30,19.417999,19.629999,19.263000,19.499001,19.463818,183497000
2021-08-02,19.700001,19.961000,19.361000,19.750000,19.714363,217444000
2021-08-03,19.740000,20.222000,19.219999,19.815001,19.779243,301811000
2021-08-04,19.990000,20.318001,19.827999,20.274000,20.237415,231309000
2021-08-05,20.500000,20.733000,20.341999,20.636999,20.599762,211435000
2021-08-06,20.524000,20.570000,20.209999,20.365999,20.329252,178497000
2021-08-09,20.445999,20.507999,20.143000,20.295000,20.258381,146443000
2021-08-10,20.322001,20.430000,19.834999,19.936001,19.900028,179238000
2021-08-11,20.042999,20.049000,19.430000,19.698999,19.663456,185925000
2021-08-12,19.870001,20.028999,19.620001,19.905001,19.869083,151652000
2021-08-13,19.905001,20.214001,19.851000,20.188000,20.151573,183063000
2021-08-16,20.135000,20.287001,19.452999,19.950001,19.914001,210876000
2021-08-17,19.684999,19.770000,19.267000,19.458000,19.422888,204585000
2021-08-18,19.500000,19.634001,19.000000,19.040001,19.005646,285913000
2021-08-19,19.493999,20.495001,18.761999,19.798000,19.762278,766555000
2021-08-20,19.990999,20.865000,19.933001,20.816000,20.778440,675741000
2021-08-23,20.971001,21.997000,20.950001,21.958000,21.918379,575807000
2021-08-24,21.753000,21.959000,21.535000,21.792999,21.753677,297299000
2021-08-25,21.737000,22.469999,21.722000,22.212999,22.172916,347701000
2021-08-26,22.200001,22.340000,21.790001,22.068001,22.028177,237940000
2021-08-27,22.184000,22.722000,22.167000,22.636000,22.595154,304722000
2021-08-30,22.830000,23.042999,22.551001,22.688000,22.647058,262580000
2021-08-31,22.695000,22.695000,22.120001,22.385000,22.348551,259850000
2021-09-01,22.485001,22.697001,22.357000,22.441000,22.404457,201767000
2021-09-02,22.518000,22.593000,22.295000,22.396000,22.359529,187834000
2021-09-03,22.325001,22.986000,22.200001,22.843000,22.805803,280532000
2021-09-07,22.833000,22.899000,22.521999,22.662001,22.625097,198107000
2021-09-08,22.513000,22.610001,21.976999,22.339001,22.302624,254434000
2021-09-09,22.312000,22.538000,22.131001,22.177000,22.140884,196856000
2021-09-10,22.348000,22.625999,22.270000,22.478001,22.441397,248376000
2021-09-13,22.684000,22.964001,21.858000,22.152000,22.115927,297500000
2021-09-14,22.275000,22.410000,22.086000,22.242001,22.205782,199755000
2021-09-15,22.309000,22.367001,21.966000,22.341000,22.304619,166538000
2021-09-16,22.183001,22.277000,21.927000,22.242001,22.205782,156033000
2021-09-17,22.299999,22.320999,21.830000,21.900000,21.864336,294503000
2021-09-20,21.146000,21.433001,20.662001,21.113001,21.078617,349440000
2021-09-21,21.417000,21.424999,20.950001,21.246000,21.211403,204688000
2021-09-22,21.365999,21.959999,21.195999,21.941000,21.905268,268726000
2021-09-23,22.139999,22.535000,21.889999,22.482000,22.445387,248555000
2021-09-24,22.070000,22.149000,21.861000,22.080999,22.045042,217655000
2021-09-27,21.709999,21.799000,21.325001,21.660000,21.624725,245215000
2021-09-28,21.214001,21.419001,20.650999,20.698999,20.665295,343069000
2021-09-29,20.940001,21.017000,20.466999,20.517000,20.483585,218394000
2021-09-30,20.768000,21.066000,20.688000,20.716000,20.682266,221009000
2021-10-01,20.750000,20.858999,20.202999,20.742001,20.708223,240978000
2021-10-04,20.504000,20.542000,19.555000,19.732000,19.699869,345635000
2021-10-05,19.950001,20.648001,19.854000,20.451000,20.417696,279282000
2021-10-06,20.120001,20.719999,20.080000,20.700001,20.666294,297202000
2021-10-07,21.091999,21.322001,20.972000,21.075001,21.040682,256919000
2021-10-08,21.101000,21.205999,20.775000,20.830999,20.797073,151258000
2021-10-11,20.575001,21.063000,20.511000,20.695000,20.661297,163388000
2021-10-12,20.827999,21.056999,20.528000,20.671000,20.637341,162134000
2021-10-13,20.917999,20.990000,20.712999,20.938999,20.904902,180652000
2021-10-14,21.288000,21.754999,21.122000,21.746000,21.710590,243589000
2021-10-15,21.809999,21.931000,21.662001,21.862000,21.826399,226994000
2021-10-18,21.749001,22.291000,21.643999,22.222000,22.185812,189494000
2021-10-19,22.275999,22.379000,22.037001,22.290001,22.253702,161473000
2021-10-20,22.305000,22.433001,21.982000,22.103001,22.067007,146276000
2021-10-21,22.097000,22.711000,22.083000,22.691999,22.655048,187590000
2021-10-22,22.823000,23.129999,22.561001,22.726000,22.688993,249384000
2021-10-25,22.973000,23.355000,22.770000,23.166000,23.128275,230235000
